event_uuid,relationship_to_event,entity_uuid,type,relationship_detail,created_at,updated_at
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,speaker,74ca7357-c8c7-be8b-b06d-721501a3b9b4,Person,,2016-09-19 15:31:10.581835,2016-09-19 15:31:10.581265
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,speaker,bfea9a97-448c-f1ab-c0e5-c4dc3db8b08c,Person,,2016-09-19 15:30:35.534482,2016-09-19 15:30:35.533979
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,speaker,30c81756-8fad-cc91-4be3-74b7f6c98e61,Person,,2016-09-19 15:28:48.173782,2016-09-19 15:28:48.17346
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,speaker,28776336-b866-9e7f-03bc-5f3cd37b4c48,Person,,2016-09-19 15:27:36.998968,2016-09-19 15:27:36.998628
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,sponsor,faf3a4cf-14ce-abc3-2f84-6a30f682f323,Organization,,2016-09-19 15:27:28.488211,2016-09-19 15:27:28.487378
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,sponsor,de1212d8-6554-7998-1b06-f156e2154d16,Organization,,2016-09-19 15:26:48.684722,2016-09-19 15:26:48.684051
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,sponsor,b281bc29-17cd-ab2e-488d-ddb22a514c6f,Organization,,2016-09-19 15:26:02.908298,2016-09-19 15:26:02.907955
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,speaker,d1c16764-b10f-51b7-9d32-f364b4189ccb,Person,,2016-09-19 15:25:45.973643,2016-09-19 15:25:45.973169
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,sponsor,be32fa02-b7a5-5881-b373-77520cf01b9f,Organization,,2016-09-19 15:25:17.788901,2016-09-19 15:25:17.788591
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,sponsor,04f52814-77e2-b2c9-2d9a-4299dbb62455,Organization,,2016-09-19 15:24:58.963351,2016-09-19 15:24:58.963035
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,sponsor,beca50ac-204d-194b-7ec9-cf1640241993,Organization,,2016-09-19 15:24:22.146667,2016-09-19 15:24:22.146125
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,speaker,d75dc84c-d0e7-95e0-4225-cd4f15da0f4b,Person,,2016-09-19 15:24:15.112558,2016-09-19 15:24:15.112228
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,speaker,e22c16e9-f871-8625-bead-b21a06c33ce0,Person,,2016-09-19 15:23:54.071101,2016-09-19 15:23:54.070498
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,sponsor,4791bb73-2eff-bd6f-bdcd-232f7d2ed445,Organization,,2016-09-19 15:23:38.944851,2016-09-19 15:23:38.944505
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,speaker,3dca241c-babd-a50d-725d-7dee4449de28,Person,,2016-09-19 15:23:29.135753,2016-09-19 15:23:29.135347
edb03c12-ec60-49e1-bb60-dd0ba4939f0b,speaker,8f5ccb16-7164-4040-1bf5-269e594aea4e,Person,,2016-09-16 11:49:23.946815,2016-09-16 11:49:23.94642
edb03c12-ec60-49e1-bb60-dd0ba4939f0b,speaker,f5352a68-7d1a-d221-1dfd-d2df92e107ff,Person,,2016-09-16 11:45:48.719556,2016-09-16 11:45:48.719204
edb03c12-ec60-49e1-bb60-dd0ba4939f0b,speaker,b6ade2be-a331-62e2-a633-39205a2dd35d,Person,,2016-09-16 11:45:07.329162,2016-09-16 11:45:07.328775
edb03c12-ec60-49e1-bb60-dd0ba4939f0b,exhibitor,241403ce-0cdf-1e7d-daec-1dd570e9dd9f,Organization,,2016-09-16 11:42:52.256811,2016-09-16 11:42:52.256518
edb03c12-ec60-49e1-bb60-dd0ba4939f0b,sponsor,ee17319e-f5ee-9c9a-6500-edf82b4fbf05,Organization,,2016-09-16 11:42:42.758816,2016-09-16 11:42:42.758444
edb03c12-ec60-49e1-bb60-dd0ba4939f0b,speaker,e5a3f282-9ba7-570d-ec0d-b924934756fb,Person,,2016-09-16 10:29:58.775824,2016-09-16 10:29:58.775399
edb03c12-ec60-49e1-bb60-dd0ba4939f0b,speaker,c41c63cd-bea0-f90e-1df1-7cee98d653ec,Person,,2016-09-16 10:28:25.80228,2016-09-16 10:28:25.801898
edb03c12-ec60-49e1-bb60-dd0ba4939f0b,speaker,9f6a141b-be41-7584-195a-8abbd3d95c8d,Person,,2016-09-16 10:26:18.88763,2016-09-16 10:26:18.887245
edb03c12-ec60-49e1-bb60-dd0ba4939f0b,speaker,e07519cf-7d8e-23f5-b461-8b633ee83d8d,Person,,2016-09-16 10:24:38.431367,2016-09-16 10:24:38.430898
2d35a13c-d9c9-314e-3f1d-97a28bdc0dd0,exhibitor,9e99eb47-9d8f-cde1-f781-db8331fc310e,Organization,,2016-09-15 21:46:47.220436,2016-09-15 21:46:47.220194
852f5287-57e9-e0a6-9b8c-c5edb8453df6,speaker,c28715d3-fb37-8f8d-4b0f-a0388efddec4,Person,,2016-09-12 06:10:16.639144,2016-09-12 06:10:16.638612
852f5287-57e9-e0a6-9b8c-c5edb8453df6,speaker,0ab97f58-c2f4-8bff-6f87-d1ec0a7b50c6,Person,,2016-09-12 06:10:02.71493,2016-09-12 06:10:02.71428
852f5287-57e9-e0a6-9b8c-c5edb8453df6,speaker,26de25c4-2bd3-7dbf-c9c9-8ca014783ce0,Person,,2016-09-12 06:09:43.079901,2016-09-12 06:09:43.079316
852f5287-57e9-e0a6-9b8c-c5edb8453df6,speaker,e4ecb31e-3928-8d28-0ced-48724ab73e62,Person,,2016-09-12 06:09:07.401955,2016-09-12 06:09:07.40157
852f5287-57e9-e0a6-9b8c-c5edb8453df6,speaker,902d0e63-6ba5-ad5d-d26c-f1d0aee0f18a,Person,,2016-09-12 06:08:39.0281,2016-09-12 06:08:39.02755
852f5287-57e9-e0a6-9b8c-c5edb8453df6,speaker,a13adbdc-a8fc-52be-8b22-11f059ba0f4f,Person,,2016-09-12 06:08:15.486289,2016-09-12 06:08:15.485649
