entity_uuid,fund_uuid,fund_name,started_on,announced_on,raised_amount,raised_amount_currency_code,created_at,updated_at
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,0de0371c-3de0-d05e-1fe7-e25c89a3aae4,KPCB Digital Growth Fund LLC,,2011-04-13,,USD,2016-07-16 09:16:06.601794,2016-07-16 09:16:49.77341
343a0c91-d3b9-80fa-2330-cfde495decf1,187e0e37-5106-d4c2-ab6b-99fb3aa9678d,China Capital Fund II,,2011-04-01,750000000,USD,2016-06-22 18:32:19.246605,2016-06-22 18:32:50.239536
343a0c91-d3b9-80fa-2330-cfde495decf1,14572273-68d7-a6b3-a192-1135e8ab9aff,IDG-Accel China Growth Fund III,,2011-04-01,550000000,USD,2016-06-22 18:31:55.20181,2016-06-22 18:32:32.756958
2ca323e0-fbcc-f738-a7a1-86b6322788bd,a43cb753-2346-2abb-7f55-a3daaa81a40b,High-Tech Gruenderfonds II,,2011-01-01,304000000,EUR,2014-05-31 11:49:49,2014-11-18 12:59:06
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,0662c2bb-0790-225a-f5d3-d6a50b7de0e8,KPCB XIV LLC,,2010-12-15,,USD,2016-07-16 09:21:51.565537,2016-07-16 09:22:28.812367
043d9e52-dcc0-0dd8-6074-206e42e20e13,09848b1e-a890-7611-1901-1a9d734ef0cf,First Round Capital III LP,2010-10-15,2010-10-04,126000000,USD,2010-10-19 10:14:23,2016-01-28 08:35:46.051423
d29973c3-95ec-691d-defd-6a6ba713c72a,635198f5-ed7b-78c0-4d0c-8af756f4e46b,Redpoint Ventures IV,2010-02-16,2010-02-16,400100000,USD,2010-02-10 04:21:14,2016-06-13 22:01:31.99379
ec66c602-011e-63bb-cd78-3a79a59cebfd,1c1c2d66-a9e4-37c6-0952-0b35408b741e,Accelerator Fund,,2010-01-22,34000000,GBP,2016-09-22 23:31:37.506826,2016-09-22 23:31:37.494554
ec66c602-011e-63bb-cd78-3a79a59cebfd,65271530-c37d-0147-03eb-409a07250895,Proof of Concept,,2010-01-22,20700000,GBP,2016-09-22 23:32:20.300512,2016-09-22 23:32:30.266714
4ab1b039-d9ce-f96a-06e7-f737e37eee08,6fc99a93-1ee5-3466-595a-0a2740f3735d,Norwest Venture Partners XI,2009-01-01,2010-01-13,1200000000,USD,2016-02-02 07:36:38.43051,2016-07-08 23:52:04.346287
47b84763-9727-7cdf-b194-2742e3963147,f7a6be80-79db-0483-007c-791311d07939,NEA 13th Fund,2010-01-06,2010-01-06,1000000000,USD,2010-01-07 11:33:54,2016-09-08 11:27:36.874438
0c867fde-2b9a-df10-fdb9-66b74f355f91,91b3de11-5ce2-0d3e-4684-9cd79587eb2d,China Fund,2009-12-22,2009-12-22,1000000000,USD,2009-12-23 07:08:36,2016-07-08 23:06:45.809455
e2006571-6b7a-e477-002a-f7014f48a7e3,39993796-6166-175a-ce17-7332b9453c98,Greylock Fund XIII,2011-01-01,2009-11-02,575000000,USD,2011-03-08 04:03:54,2016-09-08 10:10:45.801964
fe5a4983-a46a-2fc2-5633-e35e0a86b694,daa130c9-9580-cfa2-8697-4b2c1c0560e6,Khosla Ventures III,2009-09-01,2009-09-01,1000000000,USD,2010-01-22 00:21:51,2016-09-08 06:14:53.006176
ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,56e136ba-c171-75b4-ddee-c0a7f6a12309,Fund I,2009-07-05,2009-07-05,300000000,USD,2012-05-24 02:43:19,2016-09-08 07:31:22.8581
60b5dade-24ed-84b0-99e2-1ecda554a1ab,39243b0a-5f2f-88b0-30b7-ef545368a55c,Index Ventures V,,2009-03-02,350000000,EUR,2014-06-02 08:45:58,2014-09-10 22:57:09
6f2acf2a-5cbf-adb1-cbb4-5829ab0b08cd,e010d48e-99f6-f7f3-e157-3e3f95f1dde1,Atlas Venture Fund VIII,2009-01-29,2009-01-29,283000000,USD,2014-05-05 14:43:40,2016-05-06 04:55:04.169927
